id,info,rname,sname,star
30487548,赫拉克勒斯,X*****,安卓bili服,SR
30487549,弗拉德三世,那*****,安卓bili服,SSR
30487550,南丁格尔,X*****,安卓联运服,SSR
30487551,卡米拉,2*****,安卓bili服,SR
30487552,弗拉德三世,D*****,ios服,SSR
30487553,弗拉德三世,苟*****,安卓bili服,SSR
30487554,卫宫,7*****,安卓bili服,SR
30487555,齐格飞,7*****,安卓bili服,SR
30487556,莫德雷德,种*****,ios服,SSR
30487557,阿塔兰忒,梁*****,安卓bili服,SR
30487558,赫拉克勒斯,1*****,安卓bili服,SR
30487559,卫宫,1*****,安卓bili服,SR
30487560,斯忒诺,箜*****,安卓bili服,SR
30487561,罗摩,t*****,ios服,SR
30487562,齐格飞,t*****,ios服,SR
30487563,阿蒂拉,多*****,安卓联运服,SSR
30487564,赫拉克勒斯,多*****,安卓联运服,SR
30487565,赫拉克勒斯,H*****,安卓bili服,SR
30487566,阿斯托尔福,苏*****,安卓bili服,SR
30487567,阿尔托莉雅·潘德拉贡,苏*****,安卓bili服,SSR
30487568,阿塔兰忒,苏*****,安卓bili服,SR
30487569,库·丘林[Alter],诗*****,ios服,SSR
30487570,贝奥武夫,2*****,ios服,SR
30487571,斯忒诺,b*****,安卓bili服,SR
30487572,卫宫,幻*****,安卓bili服,SR
30487573,齐格飞,三*****,ios服,SR
30487574,卡米拉,T*****,安卓bili服,SR
30487575,童谣,七*****,ios服,SR
30487576,伊丽莎白·巴托里,M*****,ios服,SR
30487577,童谣,U*****,ios服,SR
30487578,卫宫〔Assassin〕,1*****,安卓bili服,SR
30487579,海伦娜·布拉瓦茨基,1*****,安卓bili服,SR
30487580,玛尔达,1*****,安卓bili服,SR
30487581,骑士迪昂,R*****,安卓bili服,SR
30487582,玛丽·安托瓦内特,R*****,安卓bili服,SR
30487583,李书文,头*****,安卓bili服,SR
30487584,弗拉德三世,菜*****,ios服,SSR
30487585,贞德,4*****,安卓bili服,SSR
30487586,托马斯·爱迪生,4*****,安卓bili服,SR
30487587,玉藻猫,傲*****,安卓bili服,SR
30487588,卡米拉,垃*****,安卓bili服,SR
30487589,赫拉克勒斯,皮*****,ios服,SR
30487590,美狄亚〔Lily〕,P*****,安卓bili服,SR
30487591,赫拉克勒斯,A*****,ios服,SR
30487592,伊丽莎白·巴托里,U*****,ios服,SR
30487593,诸葛孔明〔埃尔梅罗Ⅱ世〕,T*****,安卓bili服,SSR
30487594,阿蒂拉,9*****,ios服,SSR
30487595,骑士迪昂,s*****,ios服,SR
30487596,女王梅芙,3*****,安卓bili服,SSR
30487597,赫拉克勒斯,6*****,ios服,SR
30487598,玛尔达,R*****,ios服,SR
30487599,斯忒诺,3*****,ios服,SR
30487600,安妮·伯妮＆玛莉·瑞德,1*****,安卓bili服,SR
30487601,安妮·伯妮＆玛莉·瑞德,o*****,安卓bili服,SR
30487602,弗朗西斯·德雷克,P*****,安卓bili服,SSR
30487603,诸葛孔明〔埃尔梅罗Ⅱ世〕,y*****,安卓bili服,SSR
30487604,卫宫〔Assassin〕,3*****,安卓bili服,SR
30487605,李书文,i*****,安卓bili服,SR
30487606,斯忒诺,m*****,安卓bili服,SR
30487607,迦尔纳,m*****,安卓bili服,SSR
30487608,芬恩·麦克库尔,B*****,安卓bili服,SR
30487609,赫拉克勒斯,a*****,安卓bili服,SR
30487610,玉藻猫,Z*****,安卓bili服,SR
30487611,齐格飞,Z*****,安卓bili服,SR
30487612,玉藻猫,X*****,安卓bili服,SR
30487613,尼古拉·特斯拉,军*****,ios服,SSR
30487614,兰斯洛特,C*****,安卓bili服,SR
30487615,玛尔达,z*****,ios服,SR
30487616,女王梅芙,7*****,ios服,SSR
30487617,玛尔达,0*****,ios服,SR
30487618,伊丽莎白·巴托里,9*****,安卓bili服,SR
30487619,尼古拉·特斯拉,朽*****,ios服,SSR
30487620,玉藻猫,朽*****,ios服,SR
30487621,兰斯洛特,利*****,安卓bili服,SR
30487622,安妮·伯妮＆玛莉·瑞德,u*****,安卓bili服,SR
30487623,弗朗西斯·德雷克, *****,ios服,SSR
30487624,斯忒诺,A*****,安卓bili服,SR
30487625,阿周那,谁*****,安卓bili服,SSR
30487626,斯忒诺,A*****,ios服,SR
30487627,莫德雷德,新*****,安卓bili服,SSR
30487628,阿塔兰忒,e*****,安卓bili服,SR
30487629,玉藻猫,3*****,安卓bili服,SR
30487630,阿塔兰忒,3*****,安卓bili服,SR
30487631,芬恩·麦克库尔,3*****,安卓bili服,SR
30487632,卡米拉,e*****,安卓bili服,SR
30487633,罗摩,艽*****,安卓联运服,SR
30487634,兰斯洛特,宝*****,ios服,SR
30487635,齐格飞,执*****,安卓bili服,SR
30487636,卡米拉,6*****,安卓bili服,SR
30487637,玛尔达,6*****,安卓bili服,SR
30487638,海伦娜·布拉瓦茨基,芮*****,安卓bili服,SR
30487639,玛丽·安托瓦内特,名*****,安卓bili服,SR
30487640,阿尔托莉雅·潘德拉贡〔Alter〕,老*****,安卓bili服,SR
30487641,玛尔达,r*****,安卓bili服,SR
30487642,库·丘林[Alter],2*****,安卓bili服,SSR
30487643,卫宫〔Assassin〕,b*****,安卓bili服,SR
30487644,兰斯洛特,6*****,ios服,SR
30487645,玛尔达,3*****,安卓bili服,SR
30487646,赫拉克勒斯,3*****,安卓bili服,SR
30487647,芬恩·麦克库尔,成*****,安卓bili服,SR
